level,gpa,distance_km,disability,medical_condition,financial_need,first_generation,international,gender,previous_housing,semesters_completed,academic_probation,family_size,family_income_bracket,employment_hours,priority_score,was_allocated,application_date
100,4.046789480734433,138.15777263824555,0,0,1,0,0,M,1,1.0,0,3,1,15.730746470007036,100.0,1,2023-06-12
200,3.8479823252111567,11.904474320793387,0,0,0,0,0,M,1,2.0,0,4,5,16.394708290972503,80.25,1,2023-09-19
100,2.603736337952395,33.919115640179555,0,0,0,0,0,M,0,0.0,0,3,5,25.594484305472726,85.85,1,2023-08-02
400,4.2668499978571655,1.0,0,0,1,0,0,F,0,7.0,0,3,2,24.632371299003864,94.35,1,2023-07-23
100,3.8640907422267734,3.725149209795824,0,0,0,0,0,M,0,1.0,0,4,6,26.028734692637066,75.43,1,2023-10-27
300,3.2383031800552597,1.0,0,0,0,1,0,M,0,5.0,0,4,6,17.82007069352247,78.52,1,2023-08-17
100,3.533356348217656,86.1624899077676,0,0,0,0,0,F,1,0.0,0,6,3,2.930220233395371,93.9,1,2023-11-30
200,4.128674608414939,40.388489714316435,0,0,0,0,0,F,1,2.0,0,3,6,9.868269732509598,88.42,1,2023-03-25
200,3.3988208376128863,1.627886099799397,0,0,0,1,0,M,0,2.0,0,3,8,2.3511600515607576,75.91,1,2023-09-29
100,3.4938099831658067,9.268396618662061,0,0,1,0,0,M,0,0.0,0,3,6,23.191567514742253,92.58,1,2023-01-30
400,3.709591249105548,6.101209782193592,0,0,1,1,0,M,1,7.0,0,6,6,23.078572976591047,98.25,1,2023-01-10
300,3.1861343156137814,26.15447112909131,1,0,0,0,0,F,0,5.0,0,3,9,0.9917492189891209,97.18,1,2023-06-07
400,3.994674171219991,1.6963348923284758,0,1,0,0,0,M,0,6.0,0,4,8,25.18110010344836,91.84,1,2023-04-29
400,4.404370972052112,98.6145457760942,0,0,0,1,0,Other,1,6.0,0,5,2,12.805019859590232,100.0,1,2023-12-02
200,3.1891885735344863,1.0,0,0,1,0,0,F,0,2.0,0,3,2,40.0,87.42,1,2023-03-17
400,3.919772625742487,92.02238171800745,0,0,1,0,0,F,0,7.0,0,3,3,19.50388402249642,99.48,1,2023-12-17
100,3.5694678537839666,1.0,0,0,0,0,0,M,1,1.0,0,2,5,16.69045593737328,64.92,0,2023-01-27
100,3.8975185982965854,112.96034858871312,0,0,0,0,0,M,0,0.0,0,3,3,17.078585926192012,93.98,1,2023-10-12
100,4.391023644492031,88.429942733415,0,0,0,0,0,M,0,0.0,0,3,4,0.45280027131336187,93.44,1,2023-11-04
100,3.8514380412609523,29.379855490479287,0,0,1,1,0,F,1,1.0,0,3,4,15.49485507849382,97.03,1,2023-06-24
200,2.4689977266387895,109.04756273382128,0,0,1,1,0,F,1,3.0,0,4,5,14.504857615697134,97.04,1,2023-02-04
100,4.137017023811781,68.20857733912516,0,0,0,0,0,M,0,0.0,0,3,4,1.6661155814383082,95.01,1,2023-10-15
300,3.1507057319883867,1.0,0,0,0,1,0,F,1,5.0,0,6,5,7.653474183328807,78.55,1,2023-01-02
200,3.391974495704513,8290.577570105732,0,0,0,0,1,F,1,3.0,0,3,6,10.865118632107723,99.63,1,2023-10-28
100,3.066776064748607,62.56873564892463,0,0,0,0,0,M,1,1.0,0,3,5,4.279728755825619,89.11,1,2023-06-25
200,2.875940723471575,73.97705736737902,0,1,1,0,0,M,1,3.0,0,5,1,13.662483904203647,95.78,1,2023-03-06
100,3.3038327244846832,25.404752704506134,0,0,1,0,0,F,1,1.0,0,4,3,37.325505736300954,96.78,1,2023-02-20
300,3.436178728997609,132.18876916275428,0,0,1,0,0,M,0,4.0,0,5,2,18.733541973711553,100.0,1,2023-07-19
100,3.9447717910927422,81.28039620839525,0,0,0,0,0,F,0,0.0,0,6,5,29.527619122278406,97.33,1,2023-10-19
500,3.9468702594277003,164.69427492534334,0,0,0,1,0,F,1,9.0,0,5,8,10.015143326083187,100.0,1,2023-01-04
300,2.318725089271653,1.0,0,0,1,0,0,F,0,5.0,0,2,4,35.63764033941019,87.38,1,2023-07-08
100,3.356687855715051,130.75504415779048,0,0,1,1,0,F,0,0.0,0,5,2,16.643081977708245,98.8,1,2023-04-30
100,3.7685685750152222,1.0,0,0,0,0,0,M,0,0.0,0,3,5,1.5398783667550298,63.74,1,2023-03-24
300,2.457486853919199,61.94584310800339,0,0,1,0,0,F,0,4.0,0,4,1,40.0,95.29,1,2023-10-05
300,3.15089945084249,212.8374205833826,0,0,1,0,0,M,0,5.0,0,3,5,12.559349710650851,97.72,1,2023-09-12
300,4.39372760681503,167.77612011712074,0,0,0,1,0,F,0,4.0,0,4,4,12.271098531182306,98.05,1,2023-11-12
300,4.494677306869497,7991.639338674901,0,0,0,1,1,M,0,5.0,0,2,7,15.001598565809694,100.0,1,2023-12-22
100,3.8002369667315126,28.347485566445897,0,0,0,0,0,M,0,0.0,0,5,8,20.683693095746925,84.75,1,2023-10-16
200,3.6399056586431215,56.7699180618914,0,0,0,0,0,F,1,2.0,0,3,8,26.68142627683318,98.3,1,2023-02-15
100,3.5716319072178098,77.40825013361439,0,0,1,0,0,F,0,1.0,0,2,4,19.530100611669766,96.77,1,2023-11-08
400,3.385386080709245,19.377953572969083,0,0,1,0,0,M,0,6.0,0,5,4,9.24078750305092,100.0,1,2023-08-10
200,3.0325181401286216,130.2588030864008,0,0,1,0,0,F,0,3.0,0,4,4,9.6240511278565,98.63,1,2023-02-25
100,3.04774788656972,3.0904676634273383,1,0,1,0,0,M,1,0.0,0,4,4,15.71777610726846,93.25,1,2023-01-25
100,2.843805711351491,52.20316608431368,0,0,0,1,0,M,1,0.0,0,4,3,1.396675016200978,90.65,1,2023-02-24
100,2.6444021947333516,60.9334970930943,0,0,1,0,0,M,0,1.0,0,5,1,25.273649787529877,100.0,1,2023-10-07
100,3.6000145575550553,30.41008322563507,0,0,1,1,0,F,0,0.0,0,3,5,18.72581444236854,96.62,1,2023-04-18
300,2.7879402176210797,2.2850721905492715,0,0,0,0,0,M,1,5.0,0,4,5,0.6887294528189752,72.05,1,2023-05-25
200,2.0552067921210146,14892.359225343545,0,0,0,0,1,M,0,2.0,0,2,3,7.04681987721636,97.33,1,2023-06-05
400,3.9145835696773035,1.0,0,0,0,0,0,M,0,6.0,0,6,5,3.4350711759621695,81.92,1,2023-01-01
200,3.515778363162182,1.696426904347684,0,0,0,0,0,M,0,2.0,0,4,5,6.829025202315866,66.9,1,2023-02-19
100,2.113403235000262,8.388004160737095,0,0,1,0,0,M,0,0.0,0,2,1,40.0,81.77,1,2023-02-18
300,3.722673759825396,62.79067581745589,0,0,0,0,0,M,0,4.0,0,1,3,14.57670997525267,99.69,1,2023-05-16
300,3.900337924733428,19.59239438760115,0,0,0,0,0,F,1,4.0,0,4,5,40.0,89.23,1,2023-06-28
200,1.8225887821278641,42.260071209389594,0,0,1,1,0,M,0,3.0,1,4,2,38.81778425051655,95.63,1,2023-09-22
300,3.133966780601325,83.29043620429957,0,0,1,0,0,M,1,4.0,0,3,3,20.52696239252847,99.24,1,2023-12-27
200,2.702401180201283,141.51925843983003,0,0,0,1,0,F,1,2.0,0,5,4,4.871136099656274,100.0,1,2023-04-28
200,3.4029473178987706,13200.307585852139,0,0,0,0,1,M,0,3.0,0,2,2,5.996415353556209,99.96,1,2023-06-04
200,3.143644661225342,126.27342517982086,0,0,0,0,0,M,1,3.0,0,3,4,5.681068239738893,96.55,1,2023-05-18
100,3.4641596237429737,7.234446080296298,1,0,1,0,0,M,0,0.0,0,4,1,15.289440817862962,95.8,1,2023-04-14
100,2.9107681438971285,5.5070168368178605,0,0,0,0,0,F,0,0.0,0,3,7,17.346444558924016,64.47,1,2023-07-30
100,3.8729462950796933,53.34312077782576,0,0,1,0,0,M,0,1.0,0,3,1,18.556973052891426,100.0,1,2023-11-29
200,3.6802063324368017,107.17411901163409,0,1,0,0,0,M,0,2.0,0,5,3,10.128252554965897,97.68,1,2023-12-13
100,3.1290277210056265,1.5996441154562289,0,0,0,0,0,M,0,0.0,0,4,2,40.0,69.89,1,2023-01-18
200,4.183613681504605,70.41273644294645,0,0,0,1,0,M,0,3.0,0,4,6,12.378922345411382,99.29,1,2023-09-06
400,4.050151280729162,37.605114352128155,0,1,0,0,0,F,0,7.0,0,4,7,2.020709384426092,99.47,1,2023-02-05
100,1.741385757396678,131.89733109366654,0,0,0,0,0,M,0,0.0,0,5,7,29.261518288528595,94.56,1,2023-11-02
200,3.9074803963662594,132.302727120516,0,0,1,0,0,F,0,3.0,0,2,2,18.740500958452607,100.0,1,2023-08-18
300,3.3142240310684943,24.370017688567838,0,0,1,0,0,M,0,4.0,0,4,3,18.69697954953881,100.0,1,2023-08-30
100,1.799502793363335,95.13833596002328,0,0,1,0,0,F,0,0.0,1,3,4,18.956679696092635,91.74,1,2023-09-10
100,3.141859162282502,5.423012138126738,0,1,0,0,0,M,0,0.0,0,3,4,6.243019780791741,80.47,1,2023-12-02
100,3.456635356714929,101.66636299088023,0,0,0,0,0,M,0,0.0,0,5,4,0.45446653172934126,94.96,1,2023-08-29
100,4.097535033076826,88.72209862051281,1,1,0,0,0,F,0,1.0,0,6,3,7.857134039306387,100.0,1,2023-04-26
400,3.993858663591586,9.035181081146577,0,0,0,0,0,F,0,7.0,0,3,5,0.7202933582855063,84.96,1,2023-06-17
300,2.9362901791597777,62.80747351725825,0,0,1,0,0,F,0,4.0,0,6,5,26.244483431839754,98.36,1,2023-04-05
200,4.298028511684788,9.050405237403393,0,0,0,1,0,F,1,3.0,0,4,3,3.7658331165589325,85.96,1,2023-09-01
400,4.273751605582174,4409.297016648023,0,0,0,0,1,M,1,6.0,0,2,5,24.61671416367174,99.42,1,2023-05-20
300,3.8911176850370635,8.154198666249142,0,0,0,0,0,M,0,5.0,0,4,3,5.469153190006164,80.1,1,2023-02-06
100,4.130863917839563,17.373783154706757,0,0,0,0,0,F,0,0.0,0,4,2,14.370102656433835,77.96,1,2023-06-14
400,2.0726999148483873,7.1352107317948334,0,0,0,0,0,F,0,7.0,0,4,5,3.6478770976741015,80.83,1,2023-02-06
200,4.139317934930091,83.69742782784124,0,0,0,1,0,M,0,2.0,0,3,3,4.9181280855261695,100.0,1,2023-08-27
300,3.3657159059499224,7985.988156930716,0,0,0,1,1,F,0,5.0,0,3,7,6.320504080067002,100.0,1,2023-08-07
400,3.2386239741883567,6.402693372269896,0,0,0,0,0,M,0,6.0,0,3,5,8.822831592351312,83.91,1,2023-02-03
100,3.2579141850278632,3.6495758670924983,0,0,0,0,0,F,0,0.0,0,4,4,2.3236321088627907,64.32,1,2023-10-06
100,1.910316990114312,45.625935628329685,0,0,1,0,0,F,0,0.0,0,2,2,18.386924677183202,96.94,1,2023-11-09
100,2.8805006487752665,99.58625109959029,0,0,0,0,0,M,0,0.0,0,4,5,3.716032419422466,91.01,1,2023-09-17
200,4.321355041127057,144.14403927506277,0,0,1,0,0,M,1,2.0,0,4,4,13.035784094639581,96.85,1,2023-07-22
300,1.97996890930492,182.37300950483547,0,0,0,0,0,M,0,5.0,1,3,1,9.150097313291031,89.72,1,2023-11-04
400,4.0314165005147355,39.47038408937598,0,0,1,0,0,F,1,7.0,0,5,1,15.258631288218188,96.24,1,2023-07-13
100,4.090131223227567,1.9874577787993266,0,0,1,0,0,Other,1,0.0,0,4,3,13.978740959769754,82.41,1,2023-04-01
200,2.944335667347604,51.16775657432894,0,0,0,1,0,F,0,3.0,0,3,3,4.7848144974788225,91.15,1,2023-11-03
200,3.603796534411593,14587.290052956983,1,0,1,0,1,F,0,3.0,0,4,4,10.82291006887479,97.53,1,2023-03-30
100,3.0266930502126232,1.0,0,0,0,0,0,F,1,1.0,0,5,1,20.712455122702714,66.92,1,2023-10-28
100,2.8350029811928654,3.887529797594531,0,0,1,0,0,M,0,1.0,0,1,3,19.252315463871767,80.35,1,2023-09-28
100,3.4693413103969295,133.62889196869475,0,0,0,0,0,M,0,1.0,0,4,3,11.1658433581351,96.37,1,2023-04-21
400,2.971769439254267,4110.80898363051,0,0,0,0,1,F,0,7.0,0,3,4,40.0,100.0,1,2023-10-21
100,3.48093955459496,8.184780259856927,0,0,0,0,0,F,0,0.0,0,3,3,4.184715838627175,67.26,1,2023-11-28
200,4.302146528531409,212.2884454342996,0,0,0,0,0,Other,0,3.0,0,4,8,1.173415365504117,98.58,1,2023-09-24
300,3.421062649347836,5750.363685319433,0,0,1,0,1,M,1,5.0,0,5,3,8.321570634965724,98.43,1,2023-07-23
200,3.169981996478242,113.39705401183217,0,0,1,0,0,F,0,3.0,0,2,3,20.238698421075945,98.82,1,2023-06-11
500,3.1072990909008835,94.55032559009607,0,0,1,0,0,F,0,8.0,0,3,5,22.900494917247283,100.0,1,2023-06-16
400,2.6595356383847495,14.80063523481001,0,0,0,0,0,F,0,6.0,0,2,8,8.15758731813338,83.87,1,2023-04-26
100,4.094414092313755,2.6506873408873854,0,0,0,0,0,M,1,0.0,0,4,6,21.855679730667113,73.56,1,2023-04-12
200,3.931711484758303,90.11380112667268,0,0,0,1,0,F,0,2.0,0,4,5,5.214885991477946,97.96,1,2023-06-16
100,3.896083167508777,11.348759533636672,0,0,0,1,0,M,0,0.0,0,3,8,3.121790496595325,74.92,1,2023-03-14
100,2.911699822071728,9.343652206866077,0,0,0,0,0,F,1,0.0,0,3,5,0.04492505681209916,72.45,1,2023-05-20
100,3.4393337672947766,43.88159158269458,0,0,0,0,0,F,0,1.0,0,2,5,14.69415827470587,89.25,1,2023-12-17
200,4.192833325449014,4.139884711725082,0,0,0,0,0,F,0,2.0,0,2,4,16.717917052800086,74.34,1,2023-03-26
200,3.559450120146478,2.46595924396917,0,0,1,1,0,F,0,2.0,0,3,6,10.393425155609483,93.36,1,2023-09-19
100,3.202598231902285,8.271126549359696,0,0,0,1,0,F,0,1.0,0,6,4,20.992751451720654,79.58,1,2023-07-10
100,3.9071619225908756,30.21287172873796,0,0,0,0,0,M,0,1.0,0,4,6,2.0633815307195094,83.72,1,2023-08-11
400,3.8845015429580574,112.49635520468424,0,0,0,0,0,M,0,7.0,0,4,9,31.816805431312716,98.54,1,2023-11-15
100,3.034797275191587,106.88770073259855,0,0,0,0,0,M,0,1.0,0,4,8,8.049622991651887,96.57,1,2023-01-01
100,3.4717459954489285,29.839292768436337,0,0,1,0,0,F,0,0.0,0,3,4,7.6470463691670565,95.68,1,2023-05-01
200,3.9075681601018943,29.031178965169318,0,0,0,0,0,M,0,3.0,0,2,6,4.993179019815515,86.52,1,2023-08-31
500,4.066875039638749,2989.2774276437767,0,0,0,0,1,M,0,8.0,0,3,6,0.5617941132646499,99.95,1,2023-12-01
100,3.35510925846162,222.97246858920658,1,0,0,0,0,M,0,0.0,0,3,2,0.1425183899200934,98.66,1,2023-07-22
300,2.5602816770039882,1.0,0,0,0,1,0,M,0,4.0,0,4,5,2.6192969737888614,75.29,1,2023-07-24
300,3.850193536278526,34.63647965067513,0,0,1,0,0,M,0,4.0,0,3,5,15.949789383412591,100.0,1,2023-10-12
100,3.5115233900182377,32.064059372953736,0,0,1,0,0,F,1,0.0,0,3,3,13.508060336471832,95.89,1,2023-04-27
300,1.9569292475611082,36.34495938501372,0,0,0,0,0,F,0,4.0,1,1,9,27.252772976917523,79.99,1,2023-06-17
200,2.8924772411016964,100.0550063718132,0,0,1,0,0,F,1,2.0,0,6,3,9.941674029025961,99.07,1,2023-05-28
200,2.4580326837285313,30.572851610849547,0,0,1,0,0,M,0,3.0,0,2,5,19.620130903086306,97.84,1,2023-11-26
200,3.038879812723301,103.1864334646977,0,0,0,0,0,M,0,3.0,0,2,4,1.2998435078065933,98.15,1,2023-07-22
200,3.2135846175352,6.250365667384468,1,0,1,1,0,F,1,2.0,0,3,2,20.16296451001475,99.66,1,2023-07-13
100,2.893946736532568,173.2434622598135,1,0,0,0,0,M,1,1.0,0,4,4,3.9693267323371417,96.83,1,2023-09-12
300,2.5261130001563057,113.81350725179664,0,0,0,0,0,F,0,5.0,0,6,7,14.69073405996365,100.0,1,2023-06-10
100,3.950323330081994,55.96001482087629,0,0,1,0,0,M,1,0.0,0,1,2,34.75039648564011,100.0,1,2023-08-07
100,2.8166709681340607,26.806893703192188,0,0,1,0,0,F,0,0.0,0,4,2,15.420464053033468,91.38,0,2023-03-31
100,2.9953747546937324,12.380243703417955,1,0,0,0,0,F,0,1.0,0,3,5,10.902124031937824,81.47,1,2023-11-29
200,3.5790006798201697,78.56346330672866,0,0,0,0,0,F,0,3.0,0,6,4,10.489070902853719,95.47,1,2023-01-10
300,3.922456645691922,16.25591009253497,0,0,0,1,0,Other,0,4.0,0,5,5,8.79056155358124,86.54,1,2023-12-11
100,3.935906999424643,1.6430263351139547,0,0,0,0,0,M,1,0.0,0,4,3,12.112111886715946,65.3,1,2023-05-25
200,4.19631552303288,217.8796638328228,0,0,1,0,0,M,1,2.0,0,4,3,26.537271589821454,99.57,0,2023-05-01
100,2.22367981085341,55.213344134470375,0,0,0,0,0,M,0,1.0,0,2,2,21.32755643696396,88.27,1,2023-05-10
200,3.9622317455317027,1.0,0,0,0,0,0,M,0,2.0,0,3,5,12.942245552544772,70.2,1,2023-05-04
100,1.7975094934945788,114.7164285072835,0,0,0,1,0,M,0,1.0,1,6,4,7.105134736433297,82.03,1,2023-03-07
300,3.3188907926994498,59.82651955971117,0,0,0,0,0,F,0,4.0,0,5,8,32.677520578297425,97.56,1,2023-04-17
200,3.982504549172084,107.83588722557751,0,0,1,0,0,M,0,3.0,0,2,4,40.0,97.57,1,2023-06-07
400,2.8378430821643605,1.3752992070291257,0,0,0,0,0,M,0,6.0,0,4,6,3.6908699477802247,75.85,1,2023-04-16
100,3.9184943571302684,90.70340690858154,0,0,0,0,0,M,1,1.0,0,5,5,7.312916421783423,94.46,1,2023-03-02
100,4.461237421831418,10212.530833015811,0,0,1,1,1,Other,1,1.0,0,3,2,33.18487158917265,99.52,1,2023-03-21
100,2.3382186382462,54.990389762325556,0,0,0,0,0,M,0,1.0,0,3,6,23.890108145098033,90.59,1,2023-07-01
400,3.6692846166991773,53.278650202409835,0,0,1,0,0,F,1,6.0,0,2,2,20.722894679460552,100.0,1,2023-09-27
400,3.377441684997832,41.70440479610183,0,0,0,0,0,M,1,7.0,0,2,5,24.62132994673169,99.58,1,2023-04-15
100,4.821121423825405,71.35454661494092,1,0,1,0,0,F,0,1.0,0,5,1,13.790313290434506,100.0,1,2023-05-11
300,3.206580380885621,105.73528537568822,0,0,0,0,0,F,0,5.0,0,4,5,1.4432844990977909,98.97,1,2023-04-30
300,2.2287190009451545,91.60042909975745,1,0,1,0,0,F,1,5.0,0,6,3,19.400808107678706,100.0,1,2023-01-15
200,3.7483642715252397,4.169602588563393,0,0,1,0,0,M,1,2.0,0,3,1,33.18878463215067,91.79,1,2023-05-31
200,4.373994286224225,31.362417761686928,0,0,1,0,0,F,0,2.0,0,2,2,40.0,100.0,1,2023-08-17
100,4.327805769619405,66.74435998246187,0,0,1,0,0,M,0,1.0,0,4,4,19.980029911929996,100.0,1,2023-07-23
100,2.530705976696703,1.0,0,0,0,0,0,M,1,1.0,0,3,2,3.3905722596415573,65.38,1,2023-07-12
400,2.9168637758501195,25.232080689384393,0,0,1,0,0,F,0,7.0,0,3,5,12.97008680364532,96.5,1,2023-02-06
400,2.2322167430406727,109.34632036866275,0,0,0,0,0,M,1,6.0,0,5,5,5.4786612772160534,99.89,1,2023-06-21
200,3.593629260974666,116.02309920167716,0,0,0,0,0,F,0,2.0,0,4,5,15.67970260202676,97.59,1,2023-10-21
100,3.840660004927991,8.239273702725626,0,0,1,0,0,M,0,0.0,0,3,5,12.287638536209295,89.22,1,2023-11-08
100,3.0335454232485963,132.27060456367448,0,0,0,0,0,M,0,1.0,0,3,5,1.9861165550944997,92.87,1,2023-03-09
300,4.2373057572707,61.49757684953441,0,0,1,0,0,M,1,5.0,0,4,1,21.733115104598895,98.01,1,2023-01-26
400,3.569348567045644,14004.557852899667,0,0,0,0,1,M,0,6.0,0,3,2,8.269893485659196,99.82,1,2023-08-10
400,4.091934154700297,1.0796497264504898,0,0,0,0,0,F,0,7.0,0,4,5,28.00137623950489,81.51,0,2023-10-02
300,2.707877773045521,168.9758410906346,0,0,1,0,0,F,0,5.0,0,3,2,20.236902591793417,97.63,1,2023-01-09
200,2.718931914144263,153.10551010769404,0,0,0,0,0,M,0,3.0,0,6,4,23.556612781113742,100.0,1,2023-05-22
100,3.9686750334322953,127.8916691754383,0,0,0,0,0,F,0,0.0,0,6,6,1.3897723360439413,97.28,1,2023-01-30
100,3.7875395608622275,1.657576876400633,0,0,0,0,0,M,0,1.0,0,5,6,8.612737131158005,66.81,1,2023-09-19
400,3.2613604001466197,8201.813655857279,0,0,1,0,1,F,1,7.0,0,5,6,17.21918454877992,99.7,1,2023-05-06
200,4.314157453907163,74.67362354010258,0,0,1,0,0,M,0,3.0,0,5,3,35.55886865702432,100.0,1,2023-06-28
100,3.9038205894182396,144.99374002342108,0,0,0,0,0,F,0,1.0,0,2,3,7.713200346607864,98.1,1,2023-09-11
100,4.0726833705010765,132.24070619315123,0,0,1,0,0,M,1,1.0,0,6,2,14.845693994032954,98.62,1,2023-02-23
300,4.19180787996353,11.690277953138084,0,0,0,0,0,F,0,4.0,0,2,4,11.798792900363422,82.51,1,2023-01-22
100,4.406757147897789,9.376508950364192,0,0,0,0,0,M,0,1.0,0,4,6,15.222636775323426,75.93,1,2023-10-04
100,3.761553456085174,89.21994339447674,0,0,0,0,0,F,1,1.0,0,4,4,2.330221165370229,93.7,1,2023-07-06
200,2.4210972680032707,86.14681505679573,0,0,0,0,0,F,1,2.0,0,3,6,22.060130366312887,98.69,1,2023-12-05
300,4.495843592326341,1.8326976957690375,0,0,0,0,0,M,0,5.0,0,3,6,25.25862231865918,81.03,1,2023-11-27
300,2.563758824113505,23.468618818569485,0,0,0,0,0,F,0,5.0,0,4,7,6.061151430487218,83.99,1,2023-01-16
100,3.1622758488283136,1.4260550471555742,0,0,0,0,0,M,0,1.0,0,3,3,10.021867750681706,65.64,1,2023-02-09
300,2.5097968748544828,7.165664555994008,0,0,0,0,0,F,0,4.0,0,4,3,0.1330453392894845,74.6,1,2023-02-04
100,3.437848654233331,7.514000954450082,0,0,1,1,0,M,0,0.0,0,3,4,34.239037662604495,94.93,1,2023-04-25
100,3.1983902004353597,47.90005288633502,1,0,0,0,0,F,1,0.0,0,5,5,4.364334180468225,93.84,1,2023-03-10
300,3.5381430068563158,43.10390942086654,0,0,1,0,0,M,0,5.0,0,3,2,40.0,100.0,1,2023-04-18
